Genotype;vertpos;vertvel;lifespan
mX(, FQ(RfXMmLFX), MQXFLX(LcXXrMX(XX)));0.845025749180765;1.7714155214154648e-06;50.0
mX(, XFQ(RfXMmLFX), MQXFLX(LcXXrMX(XX)));0.7748229741838173;5.044557606868061e-06;50.0
m(, FQ(RfX[Gpart,rz:-0.246,ry:0,ry:0,ry:0,ry:0]MmLFX), MQXFLXLcXcXMXC(QX));0.6805325919549458;4.487812846905137e-05;50.0
m(, FQ(RfX[Gpart,rz:-0.246,ry:0,ry:0,ry:0,ry:0]MmLFX), MQXLXLcXcXMXC(QX));0.6711528613320138;0.00015422833420633997;50.0
q(c(rX[S]L(X[Gpart,ry:-1.255,ry:1.065]X, ), ,,, , FX[*]FX));0.6648480037784483;2.935313639863546e-06;50.0
q(c(rX[S]L(X[Gpart,ry:-0.591]X, ), ,,, , FXFX));0.6648480037784483;2.935313639859105e-06;50.0
q(c(rX[S]L(X[Gpart,ry:0,ry:1.065]X, ), ,,, , FX[*]FX));0.6648480037784481;2.935313639846893e-06;50.0
mX(, FQ(RfXMmLFX), MQXFLX[*](LcXXMX(XX)));0.6376237667974126;0.00017467337690701745;50.0
mX(, FQ(RfXMmLFX[T]), MQXFLX(LcXXMX(XX)));0.6376237667974118;0.00017467337690701192;50.0
X(, FQ(RfXMLFX), MQXFLX(LcXXMX(XX)));0.6376237667974112;0.00017467337690704632;50.0
